### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
FRA,Hydro,3412,0
FRA,Geothermal,3412,0
FRA,Biomass,13300,206
FRA,Nuclear,10608,0
GAB,Coal,10551,206
GAB,Gas,7732,117
GAB,Oil,11135,117
GAB,Solar,3412,0
GAB,Wind,3412,0
GAB,Waste,8513,117
GAB,Hydro,3412,0
GAB,Geothermal,3412,0
GAB,Biomass,13300,206
GAB,Nuclear,10608,0
GBR,Coal,10551,206
GBR,Gas,7732,117
GBR,Oil,11135,117
GBR,Solar,3412,0
GBR,Wind,3412,0
GBR,Waste,8513,117
GBR,Hydro,3412,0
GBR,Geothermal,3412,0
GBR,Biomass,13300,206
GBR,Nuclear,10608,0
GEO,Coal,10551,206
GEO,Gas,7732,117
GEO,Oil,11135,117
GEO,Solar,3412,0
GEO,Wind,3412,0
GEO,Waste,8513,117
GEO,Hydro,3412,0
GEO,Geothermal,3412,0
GEO,Biomass,13300,206
GEO,Nuclear,10608,0
GHA,Coal,10551,206
GHA,Gas,7732,117
GHA,Oil,11135,117
GHA,Solar,3412,0
GHA,Wind,3412,0
GHA,Waste,8513,117
GHA,Hydro,3412,0
GHA,Geothermal,3412,0
GHA,Biomass,13300,206
GHA,Nuclear,10608,0
GIN,Coal,10551,206
GIN,Gas,7732,117
GIN,Oil,11135,117
GIN,Solar,3412,0
GIN,Wind,3412,0
GIN,Waste,8513,117
GIN,Hydro,3412,0
GIN,Geothermal,3412,0
GIN,Biomass,13300,206
GIN,Nuclear,10608,0
GMB,Coal,10551,206
GMB,Gas,7732,117
GMB,Oil,11135,117
GMB,Solar,3412,0
GMB,Wind,3412,0
GMB,Waste,8513,117
GMB,Hydro,3412,0
GMB,Geothermal,3412,0
GMB,Biomass,13300,206
GMB,Nuclear,10608,0
GNB,Coal,10551,206
GNB,Gas,7732,117
GNB,Oil,11135,117
GNB,Solar,3412,0
GNB,Wind,3412,0
GNB,Waste,8513,117
GNB,Hydro,3412,0
GNB,Geothermal,3412,0
GNB,Biomass,13300,206
GNB,Nuclear,10608,0
GNQ,Coal,10551,206
GNQ,Gas,7732,117
GNQ,Oil,11135,117
GNQ,Solar,3412,0
GNQ,Wind,3412,0
GNQ,Waste,8513,117
GNQ,Hydro,3412,0
GNQ,Geothermal,3412,0
GNQ,Biomass,13300,206
GNQ,Nuclear,10608,0
GRC,Coal,10551,206
GRC,Gas,7732,117
GRC,Oil,11135,117
GRC,Solar,3412,0
GRC,Wind,3412,0
GRC,Waste,8513,117
GRC,Hydro,3412,0
GRC,Geothermal,3412,0
GRC,Biomass,13300,206
GRC,Nuclear,10608,0
GTM,Coal,10551,206
GTM,Gas,7732,117
GTM,Oil,11135,117
GTM,Solar,3412,0
GTM,Wind,3412,0
GTM,Waste,8513,117
GTM,Hydro,3412,0
GTM,Geothermal,3412,0
GTM,Biomass,13300,206
