### This data is primarily pulled from https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf ,,,,,,
"### There were often multiple options for representative plants by fuel (eg advanced nuclear vs small modular reactor) so one was chosen arbitrarily. All values are currently for the US, but nation specific values will be added soon",,,,,,
"### Fuel prices for Biomass and Nuclear are necessary, but did not find them yet",,,,,,
country,primary_fuel,capital_cost_per_kw,fixed_om_per_kw_year,variable_om_per_mwh,discount_rate,fuel_price_per_btu
CZE,Gas,958,12.2,1.87,0.06,1.94E-06
CZE,Oil,1810,35.16,5.69,0.06,1.24E-05
CZE,Solar,1313,15.25,0,0.06,0
CZE,Wind,1265,26.34,0,0.06,0
CZE,Waste,1563,20.1,6.2,0.06,0
CZE,Hydro,5316,29.86,0,0.06,0
CZE,Geothermal,2521,128.544,1.16,0.06,0
CZE,CSP,7221,85.4,0,0.06,0
CZE,Nuclear,6041,121.64,2.37,0.06,0
CZE,Biomass,4097,125.72,4.83,0.06,0
DEU,Coal,3676,40.58,4.5,0.06,3.21E-06
DEU,Gas,958,12.2,1.87,0.06,1.94E-06
DEU,Oil,1810,35.16,5.69,0.06,1.24E-05
DEU,Solar,1313,15.25,0,0.06,0
DEU,Wind,1265,26.34,0,0.06,0
DEU,Waste,1563,20.1,6.2,0.06,0
DEU,Hydro,5316,29.86,0,0.06,0
DEU,Geothermal,2521,128.544,1.16,0.06,0
DEU,CSP,7221,85.4,0,0.06,0
DEU,Nuclear,6041,121.64,2.37,0.06,0
DEU,Biomass,4097,125.72,4.83,0.06,0
DJI,Coal,3676,40.58,4.5,0.06,3.21E-06
DJI,Gas,958,12.2,1.87,0.06,1.94E-06
DJI,Oil,1810,35.16,5.69,0.06,1.24E-05
DJI,Solar,1313,15.25,0,0.06,0
DJI,Wind,1265,26.34,0,0.06,0
DJI,Waste,1563,20.1,6.2,0.06,0
DJI,Hydro,5316,29.86,0,0.06,0
DJI,Geothermal,2521,128.544,1.16,0.06,0
DJI,CSP,7221,85.4,0,0.06,0
DJI,Nuclear,6041,121.64,2.37,0.06,0
DJI,Biomass,4097,125.72,4.83,0.06,0
DNK,Coal,3676,40.58,4.5,0.06,3.21E-06
DNK,Gas,958,12.2,1.87,0.06,1.94E-06
DNK,Oil,1810,35.16,5.69,0.06,1.24E-05
DNK,Solar,1313,15.25,0,0.06,0
DNK,Wind,1265,26.34,0,0.06,0
DNK,Waste,1563,20.1,6.2,0.06,0
DNK,Hydro,5316,29.86,0,0.06,0
DNK,Geothermal,2521,128.544,1.16,0.06,0
DNK,CSP,7221,85.4,0,0.06,0
DNK,Nuclear,6041,121.64,2.37,0.06,0
DNK,Biomass,4097,125.72,4.83,0.06,0
DOM,Coal,3676,40.58,4.5,0.06,3.21E-06
DOM,Gas,958,12.2,1.87,0.06,1.94E-06
DOM,Oil,1810,35.16,5.69,0.06,1.24E-05
DOM,Solar,1313,15.25,0,0.06,0
DOM,Wind,1265,26.34,0,0.06,0
DOM,Waste,1563,20.1,6.2,0.06,0
DOM,Hydro,5316,29.86,0,0.06,0
DOM,Geothermal,2521,128.544,1.16,0.06,0
DOM,CSP,7221,85.4,0,0.06,0
DOM,Nuclear,6041,121.64,2.37,0.06,0
DOM,Biomass,4097,125.72,4.83,0.06,0
DZA,Coal,3676,40.58,4.5,0.06,3.21E-06
DZA,Gas,958,12.2,1.87,0.06,1.94E-06
DZA,Oil,1810,35.16,5.69,0.06,1.24E-05
DZA,Solar,1313,15.25,0,0.06,0
DZA,Wind,1265,26.34,0,0.06,0
DZA,Waste,1563,20.1,6.2,0.06,0
DZA,Hydro,5316,29.86,0,0.06,0
DZA,Geothermal,2521,128.544,1.16,0.06,0
DZA,CSP,7221,85.4,0,0.06,0
DZA,Nuclear,6041,121.64,2.37,0.06,0
DZA,Biomass,4097,125.72,4.83,0.06,0
ECU,Coal,3676,40.58,4.5,0.06,3.21E-06
ECU,Gas,958,12.2,1.87,0.06,1.94E-06
ECU,Oil,1810,35.16,5.69,0.06,1.24E-05
ECU,Solar,1313,15.25,0,0.06,0
ECU,Wind,1265,26.34,0,0.06,0
ECU,Waste,1563,20.1,6.2,0.06,0
ECU,Hydro,5316,29.86,0,0.06,0
ECU,Geothermal,2521,128.544,1.16,0.06,0
ECU,CSP,7221,85.4,0,0.06,0
ECU,Nuclear,6041,121.64,2.37,0.06,0
ECU,Biomass,4097,125.72,4.83,0.06,0
