"country","country_long","name","latitude","longitude","primary_fuel","state","nerc"
"USA","United States of America","Union City Wind Turbine",40.1908,-84.8172,"Wind",NA,NA
"USA","United States of America","Union County Resource Recovery",40.6013,-74.2664,"Waste","NJ","RFC"
"USA","United States of America","Union Falls",44.5107,-73.9131,"Hydro",NA,NA
"USA","United States of America","Union HS at Casa Grande",32.9369,-111.7386,"Solar",NA,NA
"USA","United States of America","Union Power Station",33.2961,-92.5894,"Gas","AR","SERC"
"USA","United States of America","Union Renewable Energy Facility",34.6158,-81.8187,"Waste",NA,NA
"USA","United States of America","Union Valley",38.8643,-120.4443,"Hydro",NA,NA
"USA","United States of America","Unionville",40.4593,-93.0218,"Oil",NA,NA
"USA","United States of America","Unionville City of",40.4767,-93.01,"Oil","MO","SERC"
"USA","United States of America","Unionville Hydro Project 2499 NY",44.7145,-74.9966,"Hydro",NA,NA
"USA","United States of America","Unisea G 2",53.8796,-166.5532,"Oil","AK","ASCC"
"USA","United States of America","Unit 4",39.5441,-111.4187,"Hydro",NA,NA
"USA","United States of America","United Hospital",44.9425,-93.1072,"Oil","MN","MRO"
"USA","United States of America","United Stationers Supply Solar Electric",40.3206,-74.5017,"Solar",NA,NA
"USA","United States of America","Univ Minnesota CHP Plant",44.9786,-93.2408,"Gas","MN","MRO"
"USA","United States of America","Univ of Calif Santa Cruz Cogeneration",36.9997,-122.0622,"Gas","CA","WECC"
"USA","United States of America","Univ of California San Diego Solar",32.8744,-117.2389,"Solar",NA,NA
"USA","United States of America","Univ of Massachusetts Medical Center",42.279,-71.7598,"Gas","MA","NPCC"
"USA","United States of America","Univ of NC Chapel Hill Cogen Facility",35.9069,-79.0617,"Coal","NC","SERC"
"USA","United States of America","Univ of Oregon Central Power Station",44.0483,-123.0739,"Gas","OR","WECC"
"USA","United States of America","Univ of San Francisco Cogen",37.7766,-122.4519,"Gas","CA","WECC"
"USA","United States of America","University Park North",41.4425,-87.7514,"Gas","IL","RFC"
"USA","United States of America","University Park South",41.4409,-87.7532,"Gas","IL","RFC"
"USA","United States of America","University of Alaska Fairbanks",64.8542,-147.8221,"Coal","AK","ASCC"
"USA","United States of America","University of Arizona - Biosphere 2",32.578,-110.8526,"Gas","AZ","WECC"
"USA","United States of America","University of California San Diego",32.8747,-117.2392,"Gas","CA","WECC"
"USA","United States of America","University of Colorado",40.0076,-105.2692,"Gas","CO","WECC"
"USA","United States of America","University of Delaware Wind Turbine",38.7829,-75.1649,"Wind",NA,NA
"USA","United States of America","University of Florida",29.6403,-82.3486,"Gas","FL","SERC"
"USA","United States of America","University of Illinois Abbott Power Plt",40.1052,-88.2415,"Gas","IL","SERC"
"USA","United States of America","University of Illinois Cogen Facility",41.8675,-87.6524,"Gas","IL","RFC"
"USA","United States of America","University of Iowa Main Power Plant",41.6572,-91.54,"Coal","IA","MRO"
"USA","United States of America","University of Michigan",42.2812,-83.7346,"Gas","MI","RFC"
"USA","United States of America","University of Northern Iowa",42.5136,-92.4591,"Coal","IA","MRO"
"USA","United States of America","University of Notre Dame",41.7094,-86.2367,"Coal","IN","RFC"
"USA","United States of America","University of Oklahoma",35.2089,-97.4424,"Gas","OK","MRO"
"USA","United States of America","University of Rochester",43.1239,-77.6289,"Gas","NY","NPCC"
"USA","United States of America","University of Tennessee Steam Plant",35.9492,-83.9261,"Gas","TN","SERC"
"USA","United States of America","University of Texas at Dallas",32.9883,-96.7489,"Gas",NA,NA
"USA","United States of America","University of Washington Power Plant",47.6539,-122.3036,"Oil","WA","WECC"
"USA","United States of America","Upchurch Solar Center LLC",35.7819,-77.8839,"Solar",NA,NA
"USA","United States of America","Upper Androscoggin",44.088,-70.2124,"Hydro",NA,NA
"USA","United States of America","Upper Baker",48.649,-121.6907,"Hydro",NA,NA
"USA","United States of America","Upper Barker",44.0869,-70.2293,"Hydro",NA,NA
"USA","United States of America","Upper Beaver",38.2683,-112.4806,"Hydro",NA,NA
"USA","United States of America","Upper Beaver Falls Project",43.8836,-75.4281,"Hydro",NA,NA
"USA","United States of America","Upper Blackstone (MA) Treasure Valley",42.3328,-71.9876,"Solar",NA,NA
"USA","United States of America","Upper Dawson",37.6508,-120.4706,"Hydro",NA,NA
"USA","United States of America","Upper Falls",47.6544,-117.4189,"Hydro",NA,NA
"USA","United States of America","Upper Gorge",37.546,-118.59,"Hydro",NA,NA
"USA","United States of America","Upper Kalskag",61.5269,-160.3481,"Oil","AK","ASCC"
"USA","United States of America","Upper Malad",42.8643,-114.8855,"Hydro",NA,NA
"USA","United States of America","Upper Mechanicville",42.9126,-73.6805,"Hydro",NA,NA
"USA","United States of America","Upper Molina",39.1438,-108.0048,"Hydro",NA,NA
"USA","United States of America","Upper Newton Falls",44.2144,-74.9914,"Hydro",NA,NA
"USA","United States of America","Upper Pacolet Hydro",34.9214,-81.7456,"Hydro",NA,NA
"USA","United States of America","Upper Power Plant",43.5527,-112.051,"Hydro",NA,NA
"USA","United States of America","Upper Salmon A",42.7674,-114.9247,"Hydro",NA,NA
"USA","United States of America","Upper Salmon B",42.7664,-114.9082,"Hydro",NA,NA
"USA","United States of America","Upper Sterling",41.7871,-89.6775,"Hydro",NA,NA
"USA","United States of America","Upriver Dam Hydro Plant",47.6822,-117.3319,"Hydro",NA,NA
"USA","United States of America","Upson Rocky Creek Solar Plant",32.9208,-84.3431,"Solar",NA,NA
"USA","United States of America","Upton Community Solar",42.1,-71.7,"Solar",NA,NA
"USA","United States of America","Upton County Solar",31.2418,-102.2903,"Solar",NA,NA
"USA","United States of America","Urquhart",33.435,-81.9111,"Gas","SC","SERC"
"USA","United States of America","Ursa Community Solar",44.6716,-93.0826,"Solar",NA,NA
"USA","United States of America","Utah Red Hills Renewable Energy Park",37.8828,-112.9042,"Solar",NA,NA
"USA","United States of America","Utility Plants Section",64.8256,-147.6486,"Coal","AK","ASCC"
"USA","United States of America","Uwharrie Mountain Renewable",35.333,-79.9649,"Waste",NA,NA
"USA","United States of America","V C Summer",34.2983,-81.3153,"Nuclear",NA,NA
"USA","United States of America","V H Braunig",29.2567,-98.3825,"Gas","TX","TRE"
"USA","United States of America","VA Sepulveda Ambulatory Care Center",34.2489,-118.4833,"Solar",NA,NA
"USA","United States of America","VEC Alburgh Array",44.9623,-73.2741,"Solar",NA,NA
"USA","United States of America","VEC Magee Hill Solar",44.3682,-73.0608,"Solar",NA,NA
"USA","United States of America","VMEA 1 Credit Gen",38.7405,-77.5081,"Oil","VA","SERC"
"USA","United States of America","VMEA Peaking Gen",38.7405,-77.5081,"Oil","VA","SERC"
"USA","United States of America","Vaca Dixon Battery Storage System",38.3933,-121.9278,"Storage",NA,NA
"USA","United States of America","Vaca Dixon Solar Station",38.4106,-121.9264,"Solar",NA,NA
"USA","United States of America","Vacaville",38.3994,-121.9603,"Solar",NA,NA
"USA","United States of America","Valdez",61.1303,-146.3647,"Oil","AK","ASCC"
"USA","United States of America","Valdez Cogen",61.0839,-146.2529,"Oil","AK","ASCC"
"USA","United States of America","Valdosta",30.8101,-83.226,"Solar",NA,NA
"USA","United States of America","Valdosta Prison",30.9,-83.3,"Solar",NA,NA
