name,class,attribute,value
ARG_Oil_BERNARDODEIR78,Generator,Longitude,-53.6469
ARG_Oil_C_T_RUFINO79,Generator,Latitude,-34.2605
ARG_Oil_C_T_RUFINO79,Generator,Longitude,-62.7107
ARG_Oil_C_T_SANVICENT80,Generator,Latitude,-35.0241
ARG_Oil_C_T_SANVICENT80,Generator,Longitude,-58.4237
ARG_Oil_CAACATI81,Generator,Latitude,-27.7534
ARG_Oil_CAACATI81,Generator,Longitude,-57.6205
ARG_Oil_CACHI84,Generator,Latitude,-25.1089
ARG_Oil_CACHI84,Generator,Longitude,-66.2106
ARG_Oil_CAFAYATE85,Generator,Latitude,-26.0715
ARG_Oil_CAFAYATE85,Generator,Longitude,-65.9876
ARG_Oil_CAPITALCATAMAR86,Generator,Latitude,-28.4537
ARG_Oil_CAPITALCATAMAR86,Generator,Longitude,-65.7841
ARG_Oil_CAPITALCATAMAR87,Generator,Latitude,-28.4773
ARG_Oil_CAPITALCATAMAR87,Generator,Longitude,-65.7872
ARG_Oil_CAPITALCATAMAR88,Generator,Latitude,-28.4684
ARG_Oil_CAPITALCATAMAR88,Generator,Longitude,-65.7797
ARG_Oil_CENTRALPARQUE93,Generator,Latitude,-38.062
ARG_Oil_CENTRALPARQUE93,Generator,Longitude,-67.9463
ARG_Oil_CENTRALTERMICA100,Generator,Latitude,-22.3497
ARG_Oil_CENTRALTERMICA100,Generator,Longitude,-63.7664
ARG_Oil_CENTRALTERMICA101,Generator,Latitude,-34.7208
ARG_Oil_CENTRALTERMICA101,Generator,Longitude,-58.3881
ARG_Oil_CHILECITO106,Generator,Latitude,-29.1578
ARG_Oil_CHILECITO106,Generator,Longitude,-67.5069
ARG_Oil_COMANDANTEANDR109,Generator,Latitude,-25.6669
ARG_Oil_COMANDANTEANDR109,Generator,Longitude,-54.0419
ARG_Oil_CORRIENTES112,Generator,Latitude,-27.4708
ARG_Oil_CORRIENTES112,Generator,Longitude,-58.8042
ARG_Oil_CRUZDELEJE115,Generator,Latitude,-30.7636
ARG_Oil_CRUZDELEJE115,Generator,Longitude,-64.7538
